TestId,PredictedScore
1,1.0
2,0.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,0.8
9,1.0
10,1.0
11,1.0
12,1.0
13,0.0
14,1.0
15,1.0
16,1.0
17,1.0
18,0.6
19,0.8
20,0.6
21,0.8
22,1.0
23,1.0
24,0.4
25,0.6
26,1.0
27,0.8
28,1.0
29,1.0
30,0.8
31,0.8
32,0.0
33,1.0
34,1.0
35,1.0
36,0.8
37,0.8
38,1.0
39,0.0
40,0.8
41,1.0
42,1.0
43,1.0
44,0.8
45,0.2
46,1.0
47,1.0
48,1.0
49,1.0
50,0.4
51,0.6
52,0.0
53,1.0
54,0.8
55,1.0
56,1.0
57,1.0
58,1.0
59,0.4
60,1.0
61,1.0
62,1.0
63,1.0
64,0.8
65,1.0
66,1.0
67,0.0
68,1.0
69,1.0
70,1.0
71,1.0
72,0.8
73,1.0
74,0.2
75,0.8
76,1.0
77,1.0
78,1.0
79,1.0
80,1.0
81,1.0
82,1.0
83,0.6
84,1.0
85,1.0
86,1.0
87,1.0
88,0.8
89,1.0
90,1.0
91,1.0
92,1.0
93,0.0
94,1.0
95,1.0
96,1.0
97,0.0
98,0.6
99,0.0
100,1.0
101,1.0
102,1.0
103,0.8
104,0.8
105,0.0
106,1.0
107,0.8
108,0.4
109,0.8
110,1.0
111,1.0
112,1.0
113,1.0
114,0.4
115,1.0
116,1.0
117,1.0
118,1.0
119,1.0
120,0.8
121,1.0
122,0.2
123,1.0
124,1.0
125,1.0
126,1.0
127,1.0
128,1.0
129,0.0
130,0.0
131,1.0
132,1.0
133,0.6
134,1.0
135,1.0
136,0.4
137,0.2
138,0.0
139,1.0
140,0.8
141,1.0
142,1.0
143,1.0
144,0.6
145,1.0
146,0.8
147,1.0
148,0.8
149,1.0
150,1.0
151,0.8
152,0.8
153,1.0
154,1.0
155,1.0
156,0.4
157,0.8
158,0.8
159,1.0
160,1.0
161,0.2
162,1.0
163,1.0
164,1.0
165,1.0
166,1.0
167,1.0
168,0.0
169,1.0
170,0.0
171,1.0
172,1.0
173,1.0
174,1.0
175,0.8
176,0.4
177,0.6
178,0.6
179,1.0
180,0.2
181,1.0
182,1.0
183,1.0
184,1.0
185,1.0
186,0.8
187,0.0
188,0.8
189,0.8
190,1.0
191,1.0
192,0.2
193,1.0
194,0.2
195,1.0
196,0.8
197,1.0
198,0.0
199,1.0
200,1.0
201,1.0
202,0.8
203,0.6
204,1.0
205,0.8
206,1.0
207,1.0
208,0.8
209,0.6
210,1.0
211,0.8
212,0.0
213,1.0
214,0.4
215,1.0
216,1.0
217,1.0
218,0.8
219,1.0
220,1.0
221,1.0
222,1.0
223,1.0
224,1.0
225,1.0
226,1.0
227,0.0
228,1.0
229,0.0
230,1.0
231,0.8
232,1.0
233,1.0
234,0.8
235,1.0
236,1.0
237,1.0
238,0.8
239,0.8
240,0.4
241,1.0
242,1.0
243,1.0
244,1.0
245,1.0
246,0.4
247,0.0
248,1.0
249,1.0
250,1.0
251,1.0
252,1.0
253,1.0
254,0.8
255,1.0
256,0.2
257,1.0
258,0.8
259,0.8
260,0.0
261,0.8
262,0.0
263,1.0
264,1.0
265,1.0
266,1.0
267,1.0
268,1.0
269,1.0
270,0.6
271,1.0
272,1.0
273,1.0
274,1.0
275,1.0
276,1.0
277,1.0
278,0.0
279,1.0
280,1.0
281,1.0
282,1.0
283,1.0
284,0.0
285,1.0
286,0.4
287,1.0
288,1.0
289,0.8
290,1.0
291,1.0
292,0.4
293,1.0
294,0.8
295,1.0
296,1.0
297,0.4
298,1.0
299,0.8
300,0.8
301,0.8
302,1.0
303,1.0
304,1.0
305,1.0
306,1.0
307,0.4
308,1.0
309,1.0
310,0.4
311,0.6
312,1.0
313,1.0
314,0.0
315,1.0
316,0.8
317,1.0
318,1.0
319,0.8
320,1.0
321,0.8
322,0.4
323,1.0
324,0.0
325,1.0
326,1.0
327,1.0
328,0.2
329,1.0
330,0.4
331,1.0
